"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"AC1","1","LSM6DSOXTR","","","","lsm:LGA-14L_L3.0-W2.5-P0.50-TL","https://www.st.com/resource/en/datasheet/lsm6dsox.pdf"
"C4","1","220pF","","","","PCM_JLCPCB:C_0402","https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_FH--Guangdong-Fenghua-Advanced-Tech-0402B221K500NT_C1530.pdf"
"C5,C6,C10,C33","4","22uF","","","","PCM_JLCPCB:C_0603","https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_Samsung-Electro-Mechanics-CL10A226MQ8NRNC_C59461.pdf"
"C7,C28","2","22nF","","","","PCM_JLCPCB:C_0603","https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_Samsung-Electro-Mechanics-CL10B223KB8NNNC_C21122.pdf"
"C8,C14,C15,C32","4","10uF","","","","PCM_JLCPCB:C_0603","https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_Samsung-Electro-Mechanics-CL10A106MA8NRNC_C96446.pdf"
"C9,C11,C12,C21,C29,C30,C34,C35","8","100nF","","","","PCM_JLCPCB:C_0603","https://www.lcsc.com/datasheet/lcsc_datasheet_2211101700_YAGEO-CC0603KRX7R9BB104_C14663.pdf,~"
"C13,C17,C18,C19,C20","5","1uF","","","","PCM_JLCPCB:C_0603","https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_Samsung-Electro-Mechanics-CL10A105KB8NNNC_C15849.pdf"
"C16,C23,C24,C25,C26,C31","6","2.2uF","","","","PCM_JLCPCB:C_0603","https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_Samsung-Electro-Mechanics-CL10A225KO8NNNC_C23630.pdf"
"C22,C27","2","10nF","","","","PCM_JLCPCB:C_0603","https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_FH--Guangdong-Fenghua-Advanced-Tech-0603B103K500NT_C57112.pdf"
"D2","1","Red","","","","PCM_JLCPCB:D_0603","https://www.lcsc.com/datasheet/lcsc_datasheet_1810231112_Hubei-KENTO-Elec-KT-0603R_C2286.pdf"
"D3,D4","2","1N5819WS","","","","PCM_JLCPCB:D_SOD-323","https://www.lcsc.com/datasheet/lcsc_datasheet_2409300937_Guangdong-Hottech-1N5819WS_C191023.pdf"
"F1","1","BHFUSE BSMD1206C-1700T","","","","easyeda2kicad:F1206","https://lcsc.com/product-detail/Surface-Mount-Fuses_4-5A-32V_C136350.html"
"J1","1","Connector","","","","Connector_AMASS:AMASS_XT30U-F_1x02_P5.0mm_Vertical","~"
"J3","1","Conn_01x03","","","","easyeda2kicad:JST_B3B-PH-K-S","~"
"J5","1","Conn_01x02_Pin","","","","easyeda2kicad:HDR-TH_2P-P1.27-V-M","~"
"J6,J7,J9,J10","4","Screw_Terminal_01x02","","","","easyeda2kicad:JST_B2B-PH-K-S","~"
"J8","1","Conn_01x24_Socket","","","","easyeda2kicad:FPC-SMD_AFC07-S24ECA-00","~"
"J12","1","B5B-PH-K-S-(LF)(SN)","","","","easyeda2kicad:CONN-TH_B5B-PH-K-S-LF-SN","https://lcsc.com/product-detail/PH-Connectors_JST_B5B-PH-K-S-LF-SN_PHsocket-1-5P-pitch2mm_C157993.html"
"L1","1","6.8uH","","","","easyeda2kicad:IND-SMD_L6.0-W6.0",""
"Q3","1","AO3401A","","","","easyeda2kicad:SOT-23_L2.9-W1.3-P1.90-LS2.4-BR","https://lcsc.com/product-detail/MOSFET_AOS_AO3401A_AO3401A_C15127.html"
"Q4","1","AO3400A","","","","PCM_JLCPCB:Q_SOT-23","https://www.lcsc.com/datasheet/lcsc_datasheet_1811081213_Alpha---Omega-Semicon-AO3400A_C20917.pdf"
"R1,R2,R9,R10,R12,R13,R21,R22,R25,R26,R27","11","10kΩ","","","","PCM_JLCPCB:R_0603","https://www.lcsc.com/datasheet/lcsc_datasheet_2206010045_UNI-ROYAL-Uniroyal-Elec-0603WAF1002T5E_C25804.pdf"
"R3,R11,R14,R15,R16,R17,R19,R20,R23,R24","10","4.7kΩ","","","","PCM_JLCPCB:R_0603","https://www.lcsc.com/datasheet/lcsc_datasheet_2206010116_UNI-ROYAL-Uniroyal-Elec-0603WAF4701T5E_C23162.pdf"
"R4,R18","2","200Ω","","","","PCM_JLCPCB:R_0402","https://www.lcsc.com/datasheet/lcsc_datasheet_2205311900_UNI-ROYAL-Uniroyal-Elec-0402WGF2000TCE_C25087.pdf"
"R5","1","100kΩ","","","","PCM_JLCPCB:R_0402","https://www.lcsc.com/datasheet/lcsc_datasheet_2206010100_UNI-ROYAL-Uniroyal-Elec-0402WGF1003TCE_C25741.pdf"
"R6","1","22kΩ","","","","PCM_JLCPCB:R_0402","https://www.lcsc.com/datasheet/lcsc_datasheet_2206010100_UNI-ROYAL-Uniroyal-Elec-0402WGF2202TCE_C25768.pdf"
"R7,R8","2","10K","","","","PCM_JLCPCB:R_0603","~"
"R30,R33","2","5.1kΩ","","","","PCM_JLCPCB:R_0603","https://www.lcsc.com/datasheet/lcsc_datasheet_2206010116_UNI-ROYAL-Uniroyal-Elec-0603WAF5101T5E_C23186.pdf"
"R31","1","33kΩ","","","","PCM_JLCPCB:R_0603","https://www.lcsc.com/datasheet/lcsc_datasheet_2206010230_UNI-ROYAL-Uniroyal-Elec-0603WAF3302T5E_C4216.pdf"
"R32","1","18kΩ","","","","PCM_JLCPCB:R_0603","https://www.lcsc.com/datasheet/lcsc_datasheet_2206010045_UNI-ROYAL-Uniroyal-Elec-0603WAF1802T5E_C25810.pdf"
"TP1","1","TP_GND","","","","lsm:CONN-SMD_L3.2-1.6",""
"TP2,TP3,TP4","3","TestPoint_2Pole","","","","TestPoint:TestPoint_2Pads_Pitch2.54mm_Drill0.8mm","~"
"TP5","1","TP_EN","","","","lsm:CONN-SMD_L3.2-1.6",""
"U1","1","PZ127-2-02-Z","","","","easyeda2kicad:HDR-TH_4P-P1.27-V-M-R2-C2-S1.27_MH127V-12-04-0820",""
"U4,U5","2","DRV8874PWPR","","","","easyeda2kicad:HTSSOP-16_L5.0-W4.4-P0.65-LS6.4-BL-EP",""
"U9","1","ESP32-S3-WROOM-1-N16R8","","","","easyeda2kicad:ESP32-S3-WROOM-1_EXP","ESP32-S3-WROOM-1-N16R8"
"U12","1","XC6206P282MR","","","","Package_TO_SOT_SMD:SOT-23-3","https://www.torexsemi.com/file/xc6206/XC6206.pdf"
"U13","1","XC6206P122MR","","","","Package_TO_SOT_SMD:SOT-23-3","https://www.torexsemi.com/file/xc6206/XC6206.pdf"
"U14","1","SY8113IADC","","","","easyeda2kicad:TSOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL","https://lcsc.com/product-detail/New-Quadratic-Unclassified-Data_Silergy-Corp-SY8113IADC_C479075.html"
"USB1","1","TYPE-C 16PIN 2MD(073)","","","","lsm:USB-C-SMD_TYPE-C-6PIN-2MD-073",""
